metric,increment,resource,mean,stddev,data_points
latency,0,cpu,2771.3020000000001,0.0,[2771.302]
latency,0,disk,2771.3020000000001,0.0,[2771.302]
latency,0,network,2771.3020000000001,0.0,[2771.302]
latency,20,cpu,3098.056,0.0,[3098.056]
latency,20,disk,13365.486999999999,0.0,[13365.487]
latency,20,network,2689.4870000000001,0.0,[2689.487]
rps,0,cpu,0.35999999999999999,0.0,[0.36]
rps,0,disk,0.35999999999999999,0.0,[0.36]
rps,0,network,0.35999999999999999,0.0,[0.36]
rps,20,cpu,0.32000000000000001,0.0,[0.32]
rps,20,disk,0.070000000000000007,0.0,[0.07]
rps,20,network,0.37,0.0,[0.37]
latency_50,0,cpu,0.0,0.0,[0]
latency_50,0,disk,0.0,0.0,[0]
latency_50,0,network,0.0,0.0,[0]
latency_50,20,cpu,0.0,0.0,[0]
latency_50,20,disk,0.0,0.0,[0]
latency_50,20,network,0.0,0.0,[0]
percent requests within 100,0,cpu,0.0,0.0,[0.0]
percent requests within 100,0,disk,0.0,0.0,[0.0]
percent requests within 100,0,network,0.0,0.0,[0.0]
percent requests within 100,20,cpu,0.0,0.0,[0.0]
percent requests within 100,20,disk,0.0,0.0,[0.0]
percent requests within 100,20,network,0.0,0.0,[0.0]
