metric,increment,resource,mean,stddev,data_points
latency,0,cpu,2719.4580000000001,16.900000000000091,"[2736.358, 2702.558]"
latency,0,disk,2719.4580000000001,16.900000000000091,"[2736.358, 2702.558]"
latency,0,network,2719.4580000000001,16.900000000000091,"[2736.358, 2702.558]"
latency,20,cpu,3075.3225000000002,122.12749999999983,"[2953.195, 3197.45]"
latency,20,disk,8243.1384999999991,5266.1614999999993,"[13509.3, 2976.977]"
latency,20,network,2731.4184999999998,8.7445000000000164,"[2740.163, 2722.674]"
rps,0,cpu,0.37,0.0,"[0.37, 0.37]"
rps,0,disk,0.37,0.0,"[0.37, 0.37]"
rps,0,network,0.37,0.0,"[0.37, 0.37]"
rps,20,cpu,0.32500000000000001,0.015000000000000013,"[0.34, 0.31]"
rps,20,disk,0.20500000000000002,0.13500000000000001,"[0.07, 0.34]"
rps,20,network,0.36499999999999999,0.0050000000000000044,"[0.36, 0.37]"
latency_50,0,cpu,0.0,0.0,"[0, 0]"
latency_50,0,disk,0.0,0.0,"[0, 0]"
latency_50,0,network,0.0,0.0,"[0, 0]"
latency_50,20,cpu,0.0,0.0,"[0, 0]"
latency_50,20,disk,0.0,0.0,"[0, 0]"
latency_50,20,network,0.0,0.0,"[0, 0]"
percent requests within 100,0,cpu,0.0,0.0,"[0.0, 0.0]"
percent requests within 100,0,disk,0.0,0.0,"[0.0, 0.0]"
percent requests within 100,0,network,0.0,0.0,"[0.0, 0.0]"
percent requests within 100,20,cpu,0.0,0.0,"[0.0, 0.0]"
percent requests within 100,20,disk,0.0,0.0,"[0.0, 0.0]"
percent requests within 100,20,network,0.0,0.0,"[0.0, 0.0]"
