metric,increment,resource,mean,stddev,data_points
latency,0,cpu,118828.5,3427.3638193223665,"[119702, 121376, 121234, 113002]"
latency,0,disk,118828.5,3427.3638193223665,"[119702, 121376, 121234, 113002]"
latency,0,network,118828.5,3427.3638193223665,"[119702, 121376, 121234, 113002]"
latency,20,cpu,117547.0,3247.3707826486338,"[113732, 116150, 117694, 122612]"
latency,20,disk,113564.75,3508.3884031703219,"[108521, 112969, 114443, 118326]"
latency,20,network,115269.0,4115.8358203407479,"[113491, 115156, 110611, 121818]"
latency,40,cpu,123736.0,2447.999693627432,"[123315, 126429, 119958, 125242]"
latency,40,disk,110956.0,1545.2380075574119,"[110596, 110916, 108995, 113317]"
latency,40,network,112338.0,3338.0763172821557,"[111456, 117438, 108121, 112337]"
latency,60,cpu,126630.0,3614.1290098722266,"[120895, 126258, 129149, 130218]"
latency,60,disk,113995.5,2131.5588779107184,"[113463, 110886, 114925, 116708]"
latency,60,network,111270.0,2864.3869326611584,"[106755, 111650, 114705, 111970]"
latency,80,cpu,131770.5,1468.4380306979249,"[131449, 129896, 131729, 134008]"
latency,80,disk,114850.25,4396.0227123503355,"[110911, 118224, 120145, 110121]"
latency,80,network,117984.5,2980.807986100413,"[114381, 115989, 119580, 121988]"
