metric,increment,resource,mean,stddev,data_points
latency,0,cpu,66815.875,2441.6046689370087,"[64909, 66075,65215, 67649, 66718, 62438, 63420, 65275, 65233, 63438, 63969, 67977, 65304, 66305]"
latency,0,disk,66815.875,2441.6046689370087,"[64909, 66075,65215, 67649, 66718, 62438, 63420, 65275, 65233, 63438, 63969, 67977, 65304, 66305]"
latency,0,network,66815.875,2441.6046689370087,"[64909, 66075,65215, 67649, 66718, 62438, 63420, 65275, 65233, 63438, 63969, 67977, 65304, 66305]"
latency,20,cpu,67984.0,1773.7701373064099,"[62018, 69181, 68245, 65882, 70640, 70412, 65238, 65923, 69449, 66222,]"
latency,20,network,41084.0,32206.141169037932,"[63599, 67567, 64723, 61318,  64805, 65729, 64093, 65499, 63228, 64444]"
latency,20,disk,41084.0,32206.141169037932,"[67426, 63674, 60586, 62725, 65557, 64887, 63107, 65335, 63780]"
latency,40,cpu,71129.0,4738.2635004820067,"[67503, 67517, 65221, 67568, 72050, 66460, 67399, 68365, 71828, 63597]"
latency,40,disk,66534.375,2368.6487148530487,"[63080, 66626, 64022, 66196, 66216, 64477, 65933, 66385, 64956, 68793]"
latency,40,network,63888.75,2554.591295589179,"[65204, 64642, 64389, 63153, 65456, 62647, 65257, 64904, 62629, 64192]"
latency,60,cpu,67379.0,3299.9455147017202,"[68030, 62365, 66324, 69226, 65875, 66605, 74681, 64665, 65320, 70699]"
latency,60,disk,66258.600000000006,1854.4666726582066,"[63923, 65897, 67046, 68061, 65118, 68741, 63299, 68682, 67049, 64770]"
latency,60,network,66955.399999999994,2936.5990601374237,"[71142, 69728, 65346, 64849, 62011, 69580, 68401, 69188, 63074, 66235]"
latency,80,cpu,80181.625,638.94814685935194,"[67565, 69341, 67101, 69247, 71416, 65804, 67284, 67206, 75672, 69310]"
latency,80,disk,66890.375,1945.9212431069764,"[67906, 63772, 65810, 64524, 65451, 59970, 62159, 63318, 64356, 63574]"
latency,80,network,68031.125,2420.4304595205786,"[71038, 85096, 72507, 83170, 94308, 77596, 72463, 81902]"
