metric,increment,resource,mean,stddev,data_points
latency,0,cpu,49974.533333333333,2453.3474238725794,"[51793, 48170, 53364, 44745, 53844, 52035, 49605, 47815, 52245, 47238, 48219, 49012, 49437, 50148, 51948]"
latency,0,disk,49974.533333333333,2453.3474238725794,"[51793, 48170, 53364, 44745, 53844, 52035, 49605, 47815, 52245, 47238, 48219, 49012, 49437, 50148, 51948]"
latency,0,network,49974.533333333333,2453.3474238725794,"[51793, 48170, 53364, 44745, 53844, 52035, 49605, 47815, 52245, 47238, 48219, 49012, 49437, 50148, 51948]"
latency,20,cpu,52348.699999999997,2493.7142598942646,"[50774, 53146, 50971, 54751, 54805, 56636, 50267, 53504, 50527, 48106]"
latency,20,disk,51036.699999999997,1973.6389766114773,"[52876, 54637, 52775, 50579, 50669, 52311, 49801, 50089, 47881, 48749]"
latency,20,network,51522.800000000003,2245.0235544421353,"[54090, 47671, 48441, 52848, 51993, 53887, 52334, 53005, 52334, 48625]"
latency,40,cpu,55335.300000000003,1341.9340557568394,"[56309, 55382, 54841, 56391, 54574, 54559, 52094, 56131, 56039, 57033]"
latency,40,disk,52935.300000000003,1400.5798120778409,"[54237, 54065, 53747, 54464, 52328, 51637, 51591, 50086, 54227, 52971]"
latency,40,network,52397.800000000003,1863.441912161471,"[53717, 55154, 53443, 49231, 53844, 52357, 53043, 48998, 52008, 52183]"
latency,60,cpu,60085.300000000003,1199.8162400967908,"[61729, 58334, 59009, 61685, 60388, 59049, 58799, 61525, 60206, 60129]"
latency,60,disk,53836.599999999999,807.86907355090648,"[54749, 53401, 53681, 54717, 53628, 53650, 53612, 53702, 55106, 52120]"
latency,60,network,54224.0,1585.9730136417832,"[55531, 53552, 56883, 53402, 56547, 54784, 53221, 51770, 52680, 53870]"
latency,80,cpu,63347.699999999997,2604.1068737668966,"[65771, 64036, 64349, 61062, 66364, 58522, 64998, 65735, 59558, 63082]"
latency,80,disk,53636.400000000001,1073.0784873437731,"[53166, 54086, 52705, 55988, 54179, 53962, 54421, 52558, 53182, 52117]"
latency,80,network,56648.5,1709.4041798240696,"[56481, 57434, 57710, 58551, 55222, 56852, 56047, 57122, 52477, 58589]"
