metric,increment,resource,mean,stddev,data_points
latency_90,0,cpu,4359.5333333333338,7490.1951987618822,"[6013.0, 17012.0, 20005.0, 20009.0, 215.0, 213.0, 204.0, 215.0, 217.0, 216.0, 215.0, 217.0, 218.0, 212.0, 212.0]"
latency_90,0,disk,4359.5333333333338,7490.1951987618822,"[6013.0, 17012.0, 20005.0, 20009.0, 215.0, 213.0, 204.0, 215.0, 217.0, 216.0, 215.0, 217.0, 218.0, 212.0, 212.0]"
latency_90,0,network,4359.5333333333338,7490.1951987618822,"[6013.0, 17012.0, 20005.0, 20009.0, 215.0, 213.0, 204.0, 215.0, 217.0, 216.0, 215.0, 217.0, 218.0, 212.0, 212.0]"
latency_90,20,cpu,221.0,31.600180831308997,"[298.0, 206.0, 206.0, 214.0, 205.0, 206.0, 212.0]"
latency_90,20,disk,214.57142857142858,1.6781914463529615,"[217.0, 215.0, 215.0, 211.0, 214.0, 215.0, 215.0]"
latency_90,20,network,215.85714285714286,2.0303814862216991,"[217.0, 219.0, 216.0, 217.0, 213.0, 213.0, 216.0]"
latency_90,40,cpu,135.28571428571428,90.099491493276133,"[212.0, 208.0, 34.0, 28.0, 220.0, 32.0, 213.0]"
latency_90,40,disk,215.57142857142858,1.9897697538834456,"[216.0, 216.0, 215.0, 214.0, 214.0, 214.0, 220.0]"
latency_90,40,network,214.57142857142858,2.1946130708196026,"[219.0, 216.0, 214.0, 215.0, 212.0, 213.0, 213.0]"
latency_90,60,cpu,212.71428571428572,3.8808793449160359,"[214.0, 216.0, 204.0, 216.0, 214.0, 211.0, 214.0]"
latency_90,60,disk,189.28571428571428,60.549187291264715,"[216.0, 215.0, 213.0, 212.0, 214.0, 214.0, 41.0]"
latency_90,60,network,214.42857142857142,0.90350790290525129,"[216.0, 215.0, 214.0, 213.0, 215.0, 214.0, 214.0]"
latency_90,80,cpu,58.142857142857146,60.42333648381836,"[33.0, 34.0, 30.0, 36.0, 206.0, 30.0, 38.0]"
latency_90,80,disk,6414.5714285714284,9877.7758754133501,"[23010.0, 21009.0, 32.0, 213.0, 209.0, 216.0, 213.0]"
latency_90,80,network,4011.7142857142858,7222.3959956767358,"[204.0, 215.0, 217.0, 217.0, 214.0, 6002.0, 21013.0]"
latency,0,cpu,5405415.5,9177280.596052641,"[10453765.5, 19755331.5, 22431162.0, 26429799.000000004, 167118.0, 187407.0, 202165.49999999997, 182811.0, 193209.00000000003, 173679.0, 170766.0, 176226.0, 174252.0, 178897.5, 204643.5]"
latency,0,disk,5405415.5,9177280.596052641,"[10453765.5, 19755331.5, 22431162.0, 26429799.000000004, 167118.0, 187407.0, 202165.49999999997, 182811.0, 193209.00000000003, 173679.0, 170766.0, 176226.0, 174252.0, 178897.5, 204643.5]"
latency,0,network,5405415.5,9177280.596052641,"[10453765.5, 19755331.5, 22431162.0, 26429799.000000004, 167118.0, 187407.0, 202165.49999999997, 182811.0, 193209.00000000003, 173679.0, 170766.0, 176226.0, 174252.0, 178897.5, 204643.5]"
latency,20,cpu,205113.21428571429,19541.794733810078,"[244458.0, 198638.99999999997, 210060.0, 190491.0, 209775.0, 205936.5, 176433.0]"
latency,20,disk,181845.42857142858,11184.94228041998,"[205171.5, 173584.5, 176385.0, 179412.0, 191301.0, 173524.5, 173539.5]"
latency,20,network,174866.35714285713,9422.2592442208952,"[174264.0, 172762.5, 176575.5, 168903.0, 168061.5, 166965.0, 196533.0]"
latency,40,cpu,179419.92857142858,11912.888612844521,"[178960.5, 192369.0, 184518.0, 159730.5, 170244.0, 196549.49999999997, 173568.0]"
latency,40,disk,178359.64285714287,8724.6162286220188,"[186616.5, 173466.0, 195492.0, 170938.5, 169933.5, 178306.5, 173764.5]"
latency,40,network,174768.0,6735.5328774238151,"[175636.5, 175810.5, 169473.0, 170529.0, 170523.0, 171181.5, 190222.5]"
latency,60,cpu,179834.14285714287,5895.9694871901729,"[191868.0, 173397.0, 184836.0, 177205.5, 175930.5, 178710.0, 176892.0]"
latency,60,disk,181074.21428571429,15843.926490382775,"[173346.0, 187708.5, 167664.0, 170862.0, 169008.0, 182923.5, 216007.5]"
latency,60,network,178751.78571428571,5367.2867703813072,"[185632.5, 182980.5, 176298.0, 176074.5, 184456.5, 169560.0, 176260.5]"
latency,80,cpu,179308.71428571429,26934.12267374013,"[161539.5, 159892.5, 165645.0, 206748.0, 168010.5, 159813.0, 233512.50000000003]"
latency,80,disk,6238583.7857142854,10228874.545592334,"[28070550.0, 14722041.0, 187771.5, 181975.5, 173865.0, 168520.5, 165363.0]"
latency,80,network,4277472.8571428573,8454370.5502738934,"[186465.0, 172576.5, 171192.0, 174060.0, 186619.5, 4370373.0, 24681024.0]"
rps,0,cpu,4245.0953333333337,2543.1239169359314,"[100.44, 53.15, 46.81, 39.73, 6282.99, 5602.78, 5193.76, 5743.63, 5434.53, 6045.66, 6148.75, 5958.27, 6025.74, 5869.3, 5130.89]"
rps,0,disk,4245.0953333333337,2543.1239169359314,"[100.44, 53.15, 46.81, 39.73, 6282.99, 5602.78, 5193.76, 5743.63, 5434.53, 6045.66, 6148.75, 5958.27, 6025.74, 5869.3, 5130.89]"
rps,0,network,4245.0953333333337,2543.1239169359314,"[100.44, 53.15, 46.81, 39.73, 6282.99, 5602.78, 5193.76, 5743.63, 5434.53, 6045.66, 6148.75, 5958.27, 6025.74, 5869.3, 5130.89]"
rps,20,cpu,5163.8757142857148,473.18881914870627,"[4295.23, 5285.97, 4998.57, 5512.07, 5005.36, 5098.68, 5951.25]"
rps,20,disk,5794.5928571428576,332.9748061561022,"[5117.67, 6048.92, 5952.88, 5852.45, 5488.72, 6051.02, 6050.49]"
rps,20,network,6020.75,300.08341506987688,"[6025.35, 6077.7, 5946.48, 6216.61, 6247.74, 6288.75, 5342.62]"
rps,40,cpu,5878.4071428571433,395.64010723001752,"[5867.21, 5458.28, 5690.48, 6573.58, 6167.64, 5342.15, 6049.51]"
rps,40,disk,5900.4928571428563,276.47906501548505,"[5626.53, 6053.05, 5371.05, 6142.56, 6178.89, 5888.73, 6042.64]"
rps,40,network,6016.3985714285718,218.97503102464663,"[5978.24, 5972.34, 6195.66, 6157.31, 6157.51, 6133.87, 5519.86]"
rps,60,cpu,5844.8014285714289,185.50327570681651,"[5472.5, 6055.49, 5680.72, 5925.34, 5968.27, 5875.44, 5935.85]"
rps,60,disk,5838.9528571428573,460.90959059898324,"[6057.25, 5593.8, 6262.55, 6145.3, 6212.75, 5740.09, 4860.93]"
rps,60,network,5879.4042857142858,177.91755794325022,"[5656.32, 5738.33, 5955.83, 5963.36, 5692.41, 6192.49, 5957.09]"
rps,80,cpu,5971.5314285714285,772.49488777649276,"[6499.98, 6566.94, 6338.85, 5078.63, 6249.58, 6570.19, 4496.55]"
rps,80,disk,4298.6057142857144,2694.8362897896686,"[37.41, 71.32, 5591.92, 5770.01, 6039.18, 6230.71, 6349.69]"
rps,80,network,4255.7742857142857,2609.6355185179032,"[5631.1, 6084.25, 6133.44, 6032.41, 5626.43, 240.25, 42.54]"
latency_50,0,cpu,2284.6666666666665,3968.8638452612886,"[5005.0, 8005.0, 9015.0, 12007.0, 19.0, 18.0, 19.0, 17.0, 20.0, 16.0, 23.0, 22.0, 23.0, 28.0, 33.0]"
latency_50,0,disk,2284.6666666666665,3968.8638452612886,"[5005.0, 8005.0, 9015.0, 12007.0, 19.0, 18.0, 19.0, 17.0, 20.0, 16.0, 23.0, 22.0, 23.0, 28.0, 33.0]"
latency_50,0,network,2284.6666666666665,3968.8638452612886,"[5005.0, 8005.0, 9015.0, 12007.0, 19.0, 18.0, 19.0, 17.0, 20.0, 16.0, 23.0, 22.0, 23.0, 28.0, 33.0]"
latency_50,20,cpu,21.714285714285715,10.91151797367332,"[45.0, 14.0, 8.0, 21.0, 16.0, 24.0, 24.0]"
latency_50,20,disk,19.857142857142858,4.9404618473687378,"[8.0, 22.0, 21.0, 20.0, 23.0, 23.0, 22.0]"
latency_50,20,network,20.428571428571427,2.3211538298959886,"[23.0, 23.0, 18.0, 20.0, 18.0, 18.0, 23.0]"
latency_50,40,cpu,18.142857142857142,5.138887356744271,"[28.0, 14.0, 12.0, 18.0, 19.0, 14.0, 22.0]"
latency_50,40,disk,21.285714285714285,1.2777531299998797,"[24.0, 20.0, 22.0, 21.0, 20.0, 21.0, 21.0]"
latency_50,40,network,20.571428571428573,1.3997084244475304,"[23.0, 22.0, 20.0, 21.0, 19.0, 19.0, 20.0]"
latency_50,60,cpu,21.0,2.8784916685156978,"[21.0, 25.0, 21.0, 20.0, 23.0, 15.0, 22.0]"
latency_50,60,disk,20.571428571428573,2.3211538298959886,"[23.0, 23.0, 18.0, 21.0, 18.0, 23.0, 18.0]"
latency_50,60,network,21.142857142857142,2.4743582965269679,"[25.0, 24.0, 22.0, 18.0, 19.0, 19.0, 21.0]"
latency_50,80,cpu,17.714285714285715,1.4846149779161804,"[19.0, 18.0, 17.0, 15.0, 18.0, 17.0, 20.0]"
latency_50,80,disk,1617.4285714285713,3842.0345375536522,"[11027.0, 212.0, 9.0, 18.0, 21.0, 18.0, 17.0]"
latency_50,80,network,2022.2857142857142,4896.414014774653,"[22.0, 23.0, 20.0, 23.0, 29.0, 23.0, 14016.0]"
latency_99,0,cpu,4858.1999999999998,8239.7626195580815,"[8013.0, 19211.0, 23011.0, 20227.0, 222.0, 218.0, 210.0, 221.0, 219.0, 224.0, 220.0, 221.0, 222.0, 217.0, 217.0]"
latency_99,0,disk,4858.1999999999998,8239.7626195580815,"[8013.0, 19211.0, 23011.0, 20227.0, 222.0, 218.0, 210.0, 221.0, 219.0, 224.0, 220.0, 221.0, 222.0, 217.0, 217.0]"
latency_99,0,network,4858.1999999999998,8239.7626195580815,"[8013.0, 19211.0, 23011.0, 20227.0, 222.0, 218.0, 210.0, 221.0, 219.0, 224.0, 220.0, 221.0, 222.0, 217.0, 217.0]"
latency_99,20,cpu,235.14285714285714,46.165629055851163,"[348.0, 219.0, 215.0, 219.0, 218.0, 210.0, 217.0]"
latency_99,20,disk,220.71428571428572,5.1189922477625469,"[232.0, 221.0, 218.0, 214.0, 220.0, 219.0, 221.0]"
latency_99,20,network,221.14285714285714,2.7994168488950604,"[222.0, 224.0, 224.0, 221.0, 215.0, 221.0, 221.0]"
latency_99,40,cpu,214.57142857142858,4.9815987926179126,"[216.0, 212.0, 214.0, 210.0, 224.0, 208.0, 218.0]"
latency_99,40,disk,221.0,2.3299294900428702,"[224.0, 220.0, 220.0, 218.0, 220.0, 220.0, 225.0]"
latency_99,40,network,219.71428571428572,2.4327694808466287,"[225.0, 220.0, 218.0, 218.0, 217.0, 220.0, 220.0]"
latency_99,60,cpu,225.71428571428572,17.547602894610385,"[268.0, 221.0, 213.0, 221.0, 223.0, 216.0, 218.0]"
latency_99,60,disk,216.57142857142858,4.3377789859111369,"[222.0, 218.0, 216.0, 214.0, 221.0, 217.0, 208.0]"
latency_99,60,network,219.85714285714286,1.8844151368961313,"[220.0, 222.0, 220.0, 216.0, 220.0, 222.0, 219.0]"
latency_99,80,cpu,211.71428571428572,2.0503857277724751,"[209.0, 211.0, 214.0, 210.0, 210.0, 214.0, 214.0]"
latency_99,80,disk,6456.0,9882.5563639027259,"[23096.0, 21018.0, 212.0, 218.0, 213.0, 219.0, 216.0]"
latency_99,80,network,4192.1428571428569,7569.305826420119,"[210.0, 220.0, 220.0, 221.0, 225.0, 6224.0, 22025.0]"
