SERVICE,RESOURCE,AMOUNT,REPR
haproxy:1.7,MEMORY,933333333.0,RAW
elasticsearch:2.4,CPU-QUOTA,23.0,RAW
kibana:4,NET,155307.0,RAW
tsaianson/node-apt-app,NET,83626.0,RAW
haproxy:1.7,CPU-QUOTA,46.0,RAW
osalpekar/spark-image-compress...,NET,83626.0,RAW
elasticsearch:2.4,DISK,8685715.0,RAW
mysql:5.6.32,NET,167253.0,RAW
hantaowang/logstash-postgres,CPU-QUOTA,23.0,RAW
kibana:4,DISK,8685715.0,RAW
library/postgres:9.4,NET,83626.0,RAW
osalpekar/spark-image-compress...,MEMORY,933333333.0,RAW
osalpekar/spark-image-compress...,DISK,8685715.0,RAW
library/postgres:9.4,MEMORY,933333333.0,RAW
mysql:5.6.32,DISK,24816309.0,RAW
tsaianson/node-apt-app,CPU-QUOTA,46.0,RAW
library/postgres:9.4,DISK,8685715.0,RAW
haproxy:1.7,NET,167253.0,RAW
mysql:5.6.32,MEMORY,2666666667.0,RAW
hantaowang/logstash-postgres,NET,83626.0,RAW
tsaianson/node-apt-app,MEMORY,933333333.0,RAW
mysql:5.6.32,CPU-QUOTA,46.0,RAW
osalpekar/spark-image-compress...,CPU-QUOTA,23.0,RAW
kibana:4,MEMORY,933333333.0,RAW
library/postgres:9.4,CPU-QUOTA,23.0,RAW
haproxy:1.7,DISK,8685715.0,RAW
hantaowang/logstash-postgres,MEMORY,933333333.0,RAW
elasticsearch:2.4,MEMORY,933333333.0,RAW
hantaowang/logstash-postgres,DISK,8685715.0,RAW
tsaianson/node-apt-app,DISK,8685715.0,RAW
kibana:4,CPU-QUOTA,44.0,RAW
elasticsearch:2.4,NET,83626.0,RAW
