SERVICE,RESOURCE,AMOUNT,REPR
elasticsearch:2.4,CPU-QUOTA,46.666666666666664,RAW
kibana:4,NET,167253.3333333333,RAW
tsaianson/node-apt-app,NET,250879.99999999997,RAW
haproxy:1.7,CPU-QUOTA,46.666666666666664,RAW
osalpekar/spark-image-compress...,NET,83626.66666666666,RAW
elasticsearch:2.4,DISK,17371409.066666666,RAW
mysql:5.6.32,NET,167253.3333333333,RAW
hantaowang/logstash-postgres,CPU-QUOTA,46.666666666666664,RAW
kibana:4,DISK,26057113.6,RAW
library/postgres:9.4,NET,250879.99999999997,RAW
osalpekar/spark-image-compress...,DISK,8685704.533333333,RAW
mysql:5.6.32,DISK,26057113.6,RAW
tsaianson/node-apt-app,CPU-QUOTA,46.666666666666664,RAW
library/postgres:9.4,DISK,17371409.066666666,RAW
haproxy:1.7,NET,250879.99999999997,RAW
hantaowang/logstash-postgres,NET,250879.99999999997,RAW
mysql:5.6.32,CPU-QUOTA,70.0,RAW
osalpekar/spark-image-compress...,CPU-QUOTA,23.333333333333332,RAW
library/postgres:9.4,CPU-QUOTA,46.666666666666664,RAW
haproxy:1.7,DISK,17371409.066666666,RAW
hantaowang/logstash-postgres,DISK,17371409.066666666,RAW
tsaianson/node-apt-app,DISK,17371409.066666666,RAW
kibana:4,CPU-QUOTA,70.0,RAW
elasticsearch:2.4,NET,250879.99999999997,RAW
