iteration,l0,l25,l50,l75,l90,l99,l100
1,26.049,483.727,1030.297,1625.075,2265.807,2699.195,2727.724
1,19.739,308.01,927.992,1630.471,1933.103,2255.302,2381.905
1,19.622,265.75,1045.483,1708.349,1975.956,2240.565,2288.289
1,19.999,271.851,993.501,1621.429,1994.256,2350.98,2456.114
1,36.983,299.509,990.2,1636.319,1895.965,2214.478,2229.053
1,17.564,282.088,1063.65,1653.146,1945.585,2136.727,2153.628
1,25.005,324.945,1159.585,1715.393,1920.589,2128.482,2202.745
1,21.72,300.236,1025.085,1606.468,1916.941,2336.952,2376.773
1,25.826,291.183,1034.622,1711.313,2002.546,2419.037,2461.864
1,46.25,534.27,1182.121,1636.964,1862.478,2183.835,2227.875
2,24.829,459.641,917.471,1337.907,1548.46,1832.344,1897.629
2,21.513,245.558,754.385,1342.557,1551.874,1805.803,1824.797
2,15.293,253.448,803.286,1343.765,1566.835,1797.28,1853.208
2,19.431,257.624,836.517,1279.33,1521.911,1813.21,1829.637
2,22.7,230.934,800.082,1314.959,1529.699,1820.745,1866.059
2,37.98,255.656,835.572,1303.137,1503.814,1721.148,1816.87
2,16.188,211.642,740.142,1277.819,1531.119,1715.216,1735.047
2,28.357,234.623,788.847,1355.86,1595.698,1743.441,1757.675
2,22.19,231.044,788.991,1347.783,1601.981,1913.724,1960.837
2,23.132,223.491,729.033,1293.616,1513.633,1710.039,1744.556
3,153.946,461.235,798.527,1050.323,1407.811,1705.413,1711.981
3,24.817,236.15,741.281,1228.687,1376.612,1549.17,1561.56
3,30.918,198.38,624.03,1075.532,1583.576,1815.143,1884.339
3,23.678,220.743,657.682,1107.585,1321.607,1498.943,1557.435
3,15.296,209.006,658.097,1101.199,1305.371,1458.367,1485.181
3,44.67,198.155,697.674,1157.9,1370.796,1495.383,1497.833
3,41.879,262.993,699.843,1147.537,1340.154,1513.318,1526.659
3,30.092,234.616,610.274,1146.711,1598.218,1878.707,1891.041
3,17.571,214.087,688.318,1196.458,1362.786,1523.531,1575.034
3,25.946,224.352,719.656,1189.444,1358.35,1497.295,1601.013
4,18.011,390.096,784.525,1075.357,1505.11,1783.706,1791.286
4,18.559,222.222,688.68,1200.007,1391.255,1634.903,1653.029
4,29.288,209.874,655.602,1113.55,1363.783,1634.681,1688.267
4,21.937,204.473,653.104,1148.284,1366.801,1542.052,1562.391
4,47.944,227.745,769.223,1167.88,1338.026,1521.344,1599.274
4,23.289,182.922,611.038,1104.413,1366.53,1560.1,1575.808
4,41.844,228.157,642.642,1072.763,1321.179,1515.384,1525.928
4,37.163,188.367,607.915,1124.962,1374.709,1703.031,1747.579
4,37.951,227.845,656.76,1148.618,1394.778,1653.528,1660.116
4,47.18,214.71,654.774,1137.474,1375.047,1635.992,1694.204
5,93.028,244.415,594.455,1008.242,1309.62,1556.408,1567.152
5,38.657,216.007,644.47,1059.146,1226.967,1395.625,1398.938
5,37.6,267.876,567.856,981.953,1208.141,1308.034,1324.496
5,21.073,179.828,584.771,1069.309,1250.553,1369.177,1388.218
5,31.004,196.691,603.429,1024.246,1228.207,1412.162,1426.769
5,43.051,213.372,589.75,1039.384,1175.875,1454.485,1467.76
5,20.158,187.95,690.753,1037.627,1248.667,1431.3,1436.625
5,15.174,181.005,564.446,1046.274,1248.573,1429.853,1449.181
5,23.809,185.245,626.324,1077.065,1228.154,1406.856,1411.642
5,24.738,194.591,605.312,1008.913,1240.512,1477.741,1481.813
6,230.508,393.949,599.418,927.408,1137.469,1323.775,1341.917
6,19.122,202.051,579.225,868.637,1224.476,1370.413,1377.053
6,24.579,185.627,555.388,911.657,1081.473,1253.348,1327.752
6,15.875,184.969,511.583,874.288,1092.391,1345.896,1373.906
6,20.057,185.461,525.695,967.438,1094.656,1274.963,1288.385
6,19.148,188.871,560.223,921.86,1030.358,1179.817,1198.171
6,40.392,196.353,521.725,926.454,1079.829,1188.821,1191.608
6,22.828,172.882,547.625,903.224,1171.701,1390.119,1410.879
6,14.477,182.579,568.677,854.977,1215.557,1384.421,1395.928
6,23.622,178.803,533.264,933.562,1064.641,1195.253,1255.618
7,249.688,422.145,680.292,885.036,1250.848,1419.544,1453.351
7,40.62,188.731,551.729,910.915,1087.334,1322.014,1336.719
7,15.39,178.121,515.969,889.792,1100.924,1278.137,1297.277
7,14.397,180.748,518.048,911.422,1128.656,1282.07,1323.065
7,20.036,178.62,516.916,891.431,1103.188,1284.01,1286.692
7,23.99,177.929,512.549,907.35,1109.306,1226.289,1300.912
7,45.023,205.715,529.931,948.583,1172.621,1370.04,1381.52
7,21.274,183.16,534.478,900.528,1133.153,1317.395,1328.445
7,21.753,178.104,469.564,880.049,1156.571,1360.975,1416.775
7,18.923,184.242,470.0,916.833,1227.817,1451.204,1467.045
