Percentage served,Time in ms
0,28.793
1,29.170
2,29.420
3,29.451
4,29.540
5,29.811
6,29.876
7,29.895
8,29.950
9,30.017
10,30.201
11,30.462
12,30.484
13,30.510
14,30.515
15,30.782
16,30.839
17,30.864
18,30.937
19,31.164
20,31.231
21,31.250
22,31.276
23,31.287
24,31.412
25,31.434
26,31.435
27,31.476
28,31.504
29,31.506
30,31.580
31,31.608
32,31.610
33,31.615
34,31.668
35,31.762
36,31.815
37,31.883
38,31.899
39,31.923
40,31.931
41,31.962
42,31.989
43,31.990
44,31.996
45,32.057
46,32.094
47,32.106
48,32.234
49,32.292
50,32.330
51,32.374
52,32.375
53,32.393
54,32.393
55,32.402
56,32.421
57,32.464
58,32.472
59,32.473
60,32.502
61,32.599
62,32.636
63,32.682
64,32.698
65,32.722
66,32.795
67,32.952
68,32.952
69,32.969
70,32.971
71,32.993
72,33.107
73,33.116
74,33.200
75,33.233
76,33.383
77,33.405
78,33.681
79,33.750
80,33.783
81,33.900
82,33.990
83,34.148
84,34.149
85,34.179
86,34.252
87,34.541
88,35.383
89,35.564
90,35.666
91,35.753
92,36.136
93,37.014
94,39.230
95,39.774
96,42.597
97,43.371
98,47.522
99,103.205
100,103.205
