SERVICE,RESOURCE,AMOUNT,REPR
haproxy:1.7,MEMORY,2800000000.0,RAW
elasticsearch:2.4,CPU-QUOTA,49.0,RAW
kibana:4,NET,161280.0,RAW
tsaianson/node-apt-app,NET,161280.0,RAW
haproxy:1.7,CPU-QUOTA,70.0,RAW
osalpekar/spark-image-compress...,NET,161280.0,RAW
elasticsearch:2.4,DISK,26057113.0,RAW
mysql:5.6.32,NET,161280.0,RAW
hantaowang/logstash-postgres,CPU-QUOTA,70.0,RAW
kibana:4,DISK,26057113.0,RAW
library/postgres:9.4,NET,161280.0,RAW
osalpekar/spark-image-compress...,MEMORY,2800000000.0,RAW
osalpekar/spark-image-compress...,DISK,26057113.0,RAW
library/postgres:9.4,MEMORY,2800000000.0,RAW
mysql:5.6.32,DISK,26057113.0,RAW
tsaianson/node-apt-app,CPU-QUOTA,70.0,RAW
library/postgres:9.4,DISK,26057113.0,RAW
haproxy:1.7,NET,161280.0,RAW
mysql:5.6.32,MEMORY,2800000000.0,RAW
hantaowang/logstash-postgres,NET,161280.0,RAW
tsaianson/node-apt-app,MEMORY,2800000000.0,RAW
mysql:5.6.32,CPU-QUOTA,70.0,RAW
osalpekar/spark-image-compress...,CPU-QUOTA,70.0,RAW
kibana:4,MEMORY,2800000000.0,RAW
library/postgres:9.4,CPU-QUOTA,70.0,RAW
haproxy:1.7,DISK,26057113.0,RAW
hantaowang/logstash-postgres,MEMORY,2800000000.0,RAW
elasticsearch:2.4,MEMORY,2800000000.0,RAW
hantaowang/logstash-postgres,DISK,26057113.0,RAW
tsaianson/node-apt-app,DISK,26057113.0,RAW
kibana:4,CPU-QUOTA,70.0,RAW
elasticsearch:2.4,NET,161280.0,RAW
